t,TMean01,TMean02,TMean03
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
0,22.15,22.5,22.4
600,22.2,22.5,22.45
1200,22.3,22.55,22.45
1800,22.25,22.5,22.45
2400,22.15,22.5,22.35
3000,22.2,22.45,22.35
3600,22.2,22.4,22.35
4200,22.3,22.4,22.35
4800,22.3,22.4,22.35
5400,22.35,22.45,22.3
6000,22.3,22.5,22.4
6600,22.25,22.65,22.4
7200,22.3,22.6,22.25
7800,22.3,22.65,22.25
8400,22.3,22.55,22.3
9000,22.25,22.6,22.25
9600,22.3,22.6,22.15
10200,22.25,22.6,22.15
10800,22.3,22.55,22.15
11400,22.4,22.55,22.15
12000,22.35,22.65,22.2
12600,22.3,22.6,22.1
13200,22.3,22.55,22.05
13800,22.35,22.6,22.05
14400,22.25,22.55,22.05
15000,22.25,22.55,22.05
15600,22.3,22.55,22.05
16200,22.4,22.55,21.95
16800,22.35,22.55,21.9
17400,22.4,22.5,21.95
18000,22.4,22.45,21.85
18600,22.4,22.45,21.85
19200,22.45,22.45,21.8
19800,22.4,,21.85
20400,22.4,,21.8
21000,22.4,,21.8
21600,22.3,,21.75
22200,22.5,,21.7
22800,22.45,,21.7
23400,22.45,,21.65
24000,,,21.7
24600,,,21.7
25200,,,21.7
25800,,,21.65
26400,,,21.65
27000,,,21.65
27600,,,21.65
28200,,,21.55
28800,,,21.55
29400,,,21.55
30000,,,21.55
30600,,,21.55
31200,,,21.5
31800,,,21.55
32400,,,21.5
33000,,,21.55
33600,,,21.45
34200,,,21.4
34800,,,21.45
35400,,,21.45
36000,,,21.4
36600,,,21.45
37200,,,21.4
37800,,,21.35
38400,,,21.35
39000,,,21.35
39600,,,21.4
40200,,,21.4
40800,,,21.35
41400,,,21.35
42000,,,21.35
42600,,,21.35
43200,,,21.5
43800,,,21.5
44400,,,21.5
45000,,,21.4
45600,,,21.55
46200,,,21.6
46800,,,21.55
47400,,,21.55
48000,,,21.65
48600,,,21.65
49200,,,21.65
49800,,,21.8
50400,,,21.7
51000,,,21.7
51600,,,21.75
52200,,,21.85
52800,,,21.85
53400,,,21.85
54000,,,21.9
54600,,,21.9
55200,,,21.85
55800,,,21.95
56400,,,22
57000,,,22.05
57600,,,22
58200,,,22
58800,,,21.95
59400,,,21.95
60000,,,21.95
60600,,,22
61200,,,22
61800,,,22.05
62400,,,22
63000,,,22.05
63600,,,22
64200,,,22
64800,,,22.05
65400,,,22.05
66000,,,22.05
66600,,,22.05
67200,,,22.1
67800,,,22.05
68400,,,22.1
69000,,,22.1
69600,,,22.1
70200,,,22.1
70800,,,22.15
71400,,,22.1
72000,,,22.1
72600,,,21.95
73200,,,21.95
73800,,,22.05
74400,,,22
75000,,,22.05
75600,,,22
76200,,,21.95
76800,,,21.95
77400,,,21.95
78000,,,22
78600,,,21.9
79200,,,21.95
79800,,,21.85
80400,,,21.95
81000,,,21.85
81600,,,21.8
82200,,,21.85
82800,,,21.8
83400,,,21.75
84000,,,21.75
84600,,,21.75
85200,,,21.75
85800,,,21.8
86400,,,21.8
87000,,,21.75
87600,,,21.75
88200,,,21.7
88800,,,21.75
89400,,,21.65
90000,,,21.6
90600,,,21.65
91200,,,21.65
91800,,,21.7
92400,,,21.6
93000,,,21.6
93600,,,21.55
94200,,,21.7
94800,,,21.6
95400,,,21.6
96000,,,21.65
96600,,,21.5
97200,,,21.6
97800,,,21.55
98400,,,21.6
99000,,,21.45
99600,,,21.75
100200,,,21.75
100800,,,21.85
101400,,,21.9
102000,,,21.9
102600,,,22
103200,,,22.15
103800,,,22.05
104400,,,22.1
105000,,,22.1
105600,,,22.15
106200,,,22.25
106800,,,22.2
107400,,,22.25
108000,,,22.25
108600,,,22.25
109200,,,22.2
109800,,,22.25
110400,,,22.2
111000,,,22.15
111600,,,22.15
112200,,,22
112800,,,22.05
113400,,,22
114000,,,21.95
114600,,,21.9
115200,,,21.9
115800,,,21.9
116400,,,21.85
117000,,,21.85
117600,,,21.85
118200,,,21.7
